,Year,Displacement (ccm),Power (hp),Torque (Nm),Bore (mm),Stroke (mm),Fuel capacity (lts),Dry weight (kg),Wheelbase (mm),Seat height (mm)
1904,0.11774054548429082,-1.1099046488147408,-1.0005400975747973,-1.1172469057597143,-1.3766133655724897,-1.1381806545879503,-0.3215876632225581,-0.7286522166584469,-0.37909623183438734,-0.14766112601134787
1905,0.2692051142457989,-1.1099046488147408,-1.0384570339108303,-1.1311965504888202,-1.3766133655724897,-1.1381806545879503,-0.3215876632225581,-0.7286522166584469,-0.37909623183438734,-0.14766112601134787
1906,-0.03372402327721729,-0.36031430040438933,-0.01469975283793991,-0.23443367504629997,-0.017983239031887796,-0.38565266944229015,0.034888941762173296,0.24219214619032778,1.7345496419441964,-0.41917151286487253
1907,0.11774054548429082,-0.36031430040438933,-0.01469975283793991,-0.23443367504629997,-0.017983239031887796,-0.38565266944229015,0.034888941762173296,0.24219214619032778,1.7345496419441964,-0.41917151286487253
1908,0.2692051142457989,-0.36031430040438933,0.004258715330076581,-0.23443367504629997,-0.017983239031887796,-0.38565266944229015,0.034888941762173296,0.24219214619032778,1.7345496419441964,-0.41917151286487253
1958,0.5721342517688152,1.5230785347974987,0.7625974420507362,1.7783007787246898,1.0966480076401977,1.8377254684880688,-0.5092069290039957,-0.3674410051867703,-0.8194391222049257,-0.011905932584585546
1959,0.7235988205303232,1.5230785347974987,0.7625974420507362,1.8181569065221352,1.0966480076401977,1.8377254684880688,-0.5092069290039957,-0.3674410051867703,-0.8194391222049257,-0.011905932584585546
2099,-0.3366531608002335,-1.2031325941572342,-1.0668947361628551,-1.2049303869140942,-0.5447990023843661,-1.1267787154190765,-0.6968261947854332,-0.7957546946788768,-0.9555451065012738,0.06082006389403713
2149,-0.4881177295617416,-1.2982439323349295,-1.332313290515086,-1.3205131575266855,-1.0993419111764486,-1.0982738674968924,-2.0101610552554963,-1.4082432706525891,-1.4999690436866666,-0.14766112601134787
2276,0.5721342517688152,-0.8268307056838969,-0.765455092291393,-0.8721317198054255,-0.7111618750219908,-0.8759360537038565,0.05365086834031698,-0.5815978499328236,-0.61928326294559,-0.2543259208466611
2287,0.7235988205303232,-0.6371730471790669,-0.6099956533136577,-0.6728510808181988,-0.7111618750219908,-0.11200612938932303,0.9917471972475047,0.2321981601021788,0.9419324392772275,-0.20584192319424602
2288,0.8750633892918314,-0.6371730471790669,-0.6099956533136577,-0.6728510808181988,-0.7111618750219908,-0.11200612938932303,0.9917471972475047,0.2321981601021788,0.9419324392772275,-0.20584192319424602
2289,1.1779925268148475,-0.6371730471790669,-0.6099956533136577,-0.6728510808181988,-0.7111618750219908,-0.11200612938932303,0.9917471972475047,0.2321981601021788,0.9419324392772275,-0.20584192319424602
2290,1.0265279580533395,-0.6371730471790669,-0.6099956533136577,-0.6728510808181988,-0.7111618750219908,-0.11200612938932303,0.9917471972475047,0.2321981601021788,0.9419324392772275,-0.20584192319424602
