,n_cylinders,Engine stroke_ four-stroke,Fuel system_reduced_0,Fuel control_Other,Cooling system_Liquid,Cooling system_Air,Cooling system_Oil & air,Transmission type_Chain,Transmission type_Belt,Transmission type_Shaft drive,n_disks_front,abs,has_front_disk,n_pistons_front,n_disks_rear,has_rear_disk,n_pistons_rear,Category,Rear tire_width,Rear tire_height,Rear tire_diameter,Front tire_width,Front tire_height,Front tire_diameter,reartyre_speed,fronttyre_speed,Rear tire_construction_B,Front tire_construction_B,Rear tire_label_format_I,Rear tire_label_format_N,Rear tire_label_format_A,Front tire_label_format_I,Front tire_label_format_N,Front tire_label_format_A
14982,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,57.15,43.99981029389154,431.79999999999995,57.15,46.296947957154636,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
14983,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,Scooter,80.0,72.0,431.79999999999995,70.0,63.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
14984,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,80.0,72.0,431.79999999999995,70.0,63.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
14988,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,80.0,72.0,431.79999999999995,70.0,63.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
14990,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,69.85,53.77754591475633,431.79999999999995,63.5,51.44105328572737,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15024,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,0.0,1,1.0,1.0,0.0,1.0,Touring,150.0,105.0,431.79999999999995,110.0,88.0,482.59999999999997,167.05882352941177,167.05882352941177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15030,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Sport,130.0,104.0,431.79999999999995,100.0,90.0,457.2,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15058,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,1.0,Offroad,116.83999999999999,84.95299039041218,457.2,76.19999999999999,63.67651260183442,584.1999999999999,167.05882352941177,167.05882352941177,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15114,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Sport,130.0,104.0,431.79999999999995,100.0,90.0,457.2,130.0,130.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15118,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1.0,1,1.0,1.0,0.0,1.0,Touring,150.0,105.0,431.79999999999995,110.0,88.0,482.59999999999997,167.05882352941177,167.05882352941177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15119,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,0.0,1,1.0,1.0,0.0,1.0,Super motard,150.0,105.0,431.79999999999995,110.0,88.0,482.59999999999997,167.05882352941177,167.05882352941177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15120,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1.0,1,1.0,1.0,0.0,1.0,Super motard,150.0,105.0,431.79999999999995,110.0,88.0,482.59999999999997,167.05882352941177,167.05882352941177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15121,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1.0,1,3.0,1.0,0.0,3.0,Super motard,150.0,105.0,431.79999999999995,110.0,88.0,482.59999999999997,167.05882352941177,167.05882352941177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
